operator_type,input_size,representation,build_time_ms,memory_mb,query_time_ms
append,100000,RelationalProvenance,18.531321,0.000015,0.027150
select_columns,1000,NoProv,0.739904,0.000000,0.000000
select_columns,1000,IndexedTensorArray,0.757437,0.000000,0.015954
select_columns,1000,IndexedTensor,0.751100,0.000000,0.014583
select_columns,1000,COOTensor,0.754896,0.000000,0.016921
select_columns,1000,ProvenanceGraph,0.774508,0.000000,0.016158
select_columns,1000,RelationalProvenance,0.806213,0.000000,0.028008
select_columns,10000,NoProv,0.817854,0.000000,0.000000
select_columns,10000,IndexedTensorArray,1.684525,0.000000,0.013966
select_columns,10000,IndexedTensor,1.742083,0.000000,0.015271
select_columns,10000,COOTensor,1.707646,0.000000,0.018404
select_columns,10000,ProvenanceGraph,1.593171,0.000000,0.014600
select_columns,10000,RelationalProvenance,1.642983,0.000000,0.014575
select_columns,50000,NoProv,1.186783,0.000000,0.000000
select_columns,50000,IndexedTensorArray,5.587512,0.000000,0.017437
select_columns,50000,IndexedTensor,5.847979,0.000000,0.015338
select_columns,50000,COOTensor,5.829704,0.000000,0.016450
select_columns,50000,ProvenanceGraph,13.955034,0.000000,0.017729
select_columns,50000,RelationalProvenance,5.812525,0.000000,0.019054
select_columns,100000,NoProv,1.991475,0.000000,0.000000
select_columns,100000,IndexedTensorArray,10.721142,0.000000,0.014804
select_columns,100000,IndexedTensor,10.512442,0.000000,0.014254
select_columns,100000,COOTensor,10.924313,0.000000,0.016092
select_columns,100000,ProvenanceGraph,10.743737,0.000000,0.015279
select_columns,100000,RelationalProvenance,10.579421,0.000000,0.017958
assign_column,1000,NoProv,0.616183,0.000000,0.000000
assign_column,1000,IndexedTensorArray,0.674771,0.000000,0.017379
assign_column,1000,IndexedTensor,1.547400,0.000000,0.022141
assign_column,1000,COOTensor,3.964025,0.000000,0.018567
assign_column,1000,ProvenanceGraph,1.029188,0.000000,0.018692
assign_column,1000,RelationalProvenance,0.990296,0.000000,0.016321
assign_column,10000,NoProv,0.866629,0.000000,0.000000
assign_column,10000,IndexedTensorArray,2.171779,0.000000,0.022742
assign_column,10000,IndexedTensor,1.936137,0.000000,0.034646
assign_column,10000,COOTensor,1.634687,0.000000,0.015362
assign_column,10000,ProvenanceGraph,1.582304,0.000000,0.016233
assign_column,10000,RelationalProvenance,1.488150,0.000000,0.011704
assign_column,50000,NoProv,0.900950,0.000000,0.000000
assign_column,50000,IndexedTensorArray,5.826546,0.000000,0.014750
assign_column,50000,IndexedTensor,5.585858,0.000000,0.014721
assign_column,50000,COOTensor,5.295958,0.000000,0.015388
assign_column,50000,ProvenanceGraph,5.273250,0.000000,0.016154
assign_column,50000,RelationalProvenance,5.180142,0.000000,0.015542
assign_column,100000,NoProv,1.382617,0.000000,0.000000
assign_column,100000,IndexedTensorArray,10.034146,0.000000,0.016150
assign_column,100000,IndexedTensor,10.237846,0.000000,0.016013
assign_column,100000,COOTensor,9.922554,0.000000,0.015138
assign_column,100000,ProvenanceGraph,9.977883,0.000000,0.021741
assign_column,100000,RelationalProvenance,10.034829,0.000000,0.015708
map_column,1000,NoProv,0.950350,0.000000,0.000000
map_column,1000,IndexedTensorArray,0.886966,0.000000,0.013246
map_column,1000,IndexedTensor,0.945142,0.000000,0.014621
map_column,1000,COOTensor,0.952592,0.000000,0.013446
map_column,1000,ProvenanceGraph,0.986225,0.000000,0.015000
map_column,1000,RelationalProvenance,0.893975,0.000000,0.016000
map_column,10000,NoProv,3.213129,0.000000,0.000000
map_column,10000,IndexedTensorArray,4.162533,0.000000,0.013204
map_column,10000,IndexedTensor,4.297825,0.000000,0.013712
map_column,10000,COOTensor,4.214837,0.000000,0.017200
map_column,10000,ProvenanceGraph,4.099454,0.000000,0.011854
map_column,10000,RelationalProvenance,4.124113,0.000000,0.015767
map_column,50000,NoProv,13.949275,0.000000,0.000000
map_column,50000,IndexedTensorArray,18.453433,0.000000,0.014637
map_column,50000,IndexedTensor,17.981017,0.000000,0.016633
map_column,50000,COOTensor,19.774179,0.000000,0.017050
map_column,50000,ProvenanceGraph,18.241500,0.000000,0.013800
map_column,50000,RelationalProvenance,18.419721,0.000000,0.016196
map_column,100000,NoProv,27.421650,0.000000,0.000000
map_column,100000,IndexedTensorArray,35.956287,0.000000,0.011883
map_column,100000,IndexedTensor,35.920684,0.000000,0.011146
map_column,100000,COOTensor,36.300587,0.000000,0.019613
map_column,100000,ProvenanceGraph,35.900283,0.000000,0.013212
map_column,100000,RelationalProvenance,35.663354,0.000000,0.013762
impute_column,1000,NoProv,0.887025,0.000000,0.000000
impute_column,1000,IndexedTensorArray,0.856117,0.000000,0.010550
impute_column,1000,IndexedTensor,0.909762,0.000000,0.011067
impute_column,1000,COOTensor,0.892516,0.000000,0.015208
impute_column,1000,ProvenanceGraph,0.895979,0.000000,0.016196
impute_column,1000,RelationalProvenance,0.907913,0.000000,0.017237
impute_column,10000,NoProv,0.946575,0.000000,0.000000
impute_column,10000,IndexedTensorArray,1.780621,0.000000,0.012908
impute_column,10000,IndexedTensor,1.887642,0.000000,0.013242
impute_column,10000,COOTensor,1.792546,0.000000,0.011954
impute_column,10000,ProvenanceGraph,1.772325,0.000000,0.034717
impute_column,10000,RelationalProvenance,2.067479,0.000000,0.017096
impute_column,50000,NoProv,1.573442,0.000000,0.000000
impute_column,50000,IndexedTensorArray,6.072358,0.000000,0.015587
impute_column,50000,IndexedTensor,5.792500,0.000000,0.012496
impute_column,50000,COOTensor,5.857154,0.000000,0.012054
impute_column,50000,ProvenanceGraph,6.199729,0.000000,0.016483
impute_column,50000,RelationalProvenance,5.928270,0.000000,0.015188
impute_column,100000,NoProv,2.023412,0.000000,0.000000
impute_column,100000,IndexedTensorArray,19.838483,0.000000,0.016542
impute_column,100000,IndexedTensor,11.135788,0.000000,0.014104
impute_column,100000,COOTensor,10.849062,0.000000,0.017825
impute_column,100000,ProvenanceGraph,11.539167,0.000000,0.022971
impute_column,100000,RelationalProvenance,12.328796,0.000000,0.020983
